Url,Title
https://fr.wikipedia.org/wiki/%C3%89pid%C3%A9miologie,Épidémiologie
https://fr.wikipedia.org/wiki/Toxicologie,Toxicologie
https://fr.wikipedia.org/wiki/%C3%89cotoxicologie,Écotoxicologie
https://fr.wikipedia.org/wiki/Technologies_de_l%27information_et_de_la_communication,Technologies de l'information et de la communication
https://fr.wikipedia.org/wiki/T%C3%A9l%C3%A9communications,Télécommunications
https://fr.wikipedia.org/index.html#cite_note-Inria2014-9,
https://fr.wikipedia.org/wiki/Tourisme,Tourisme
https://fr.wikipedia.org/wiki/Transport,Transport
https://fr.wikipedia.org/wiki/Urbanisme,Urbanisme
https://fr.wikipedia.org/wiki/Ville_intelligente,Ville intelligente
https://fr.wikipedia.org/wiki/Smartgrid,Smartgrid
https://fr.wikipedia.org/wiki/Publicit%C3%A9,Publicité
https://fr.wikipedia.org/wiki/Commerce_%C3%A9lectronique,Commerce électronique
https://fr.wikipedia.org/wiki/Environnement,Environnement
https://fr.wikipedia.org/wiki/Climat,Climat
https://fr.wikipedia.org/w/index.php?title=Science_des_donn%C3%A9es&veaction=edit&section=4,Modifier la section : Compétences métier
https://fr.wikipedia.org/w/index.php?title=Science_des_donn%C3%A9es&action=edit&section=4,Modifier le code source de la section : Compétences métier
https://fr.wikipedia.org/wiki/Apprentissage_automatique,Apprentissage automatique
https://fr.wikipedia.org/index.html#cite_note-11,
https://fr.wikipedia.org/index.html#cite_note-Metier25février2021-12,
https://fr.wikipedia.org/wiki/Sciences_des_donn%C3%A9es,Sciences des données
https://fr.wikipedia.org/index.html#cite_note-Metier25février2021-12,
https://fr.wikipedia.org/wiki/Apprentissage_automatique,Apprentissage automatique
https://fr.wikipedia.org/wiki/Apprentissage_profond,Apprentissage profond
https://fr.wikipedia.org/wiki/TensorFlow,TensorFlow
https://fr.wikipedia.org/wiki/Keras,Keras
https://fr.wikipedia.org/wiki/PyTorch,PyTorch
https://fr.wikipedia.org/wiki/Langage_de_programmation,Langage de programmation
https://fr.wikipedia.org/wiki/Python_(langage),Python (langage)
https://fr.wikipedia.org/wiki/Perl_(langage),Perl (langage)
https://fr.wikipedia.org/wiki/Langage_de_requ%C3%AAte,Langage de requête
https://fr.wikipedia.org/index.html#cite_note-Metier25février2021-12,
https://fr.wikipedia.org/wiki/Apprentissage_supervis%C3%A9,Apprentissage supervisé
https://fr.wikipedia.org/wiki/Apprentissage_non_supervis%C3%A9,Apprentissage non supervisé
https://fr.wikipedia.org/wiki/Donn%C3%A9es_sensibles,Données sensibles
https://fr.wikipedia.org/wiki/Donn%C3%A9es_personnelles,Données personnelles
https://fr.wikipedia.org/index.html#cite_note-Metier25février2021-12,
https://fr.wikipedia.org/wiki/Hadoop,Hadoop
https://fr.wikipedia.org/wiki/Apache_Hive,Apache Hive
https://fr.wikipedia.org/wiki/Apache_Pig,Apache Pig
https://fr.wikipedia.org/wiki/Amazon_S3,Amazon S3
https://fr.wikipedia.org/wiki/Gestion_des_donn%C3%A9es,Gestion des données
https://fr.wikipedia.org/wiki/Intelligence_artificielle,Intelligence artificielle
https://fr.wikipedia.org/wiki/R%C3%A9seau_de_neurones_artificiels,Réseau de neurones artificiels
https://fr.wikipedia.org/index.html#cite_note-Metier25février2021-12,
https://fr.wikipedia.org/wiki/Visualisation_de_donn%C3%A9es,Visualisation de données
https://fr.wikipedia.org/index.html#cite_note-Metier25février2021-12,
https://fr.wikipedia.org/wiki/Application_web,Application web
https://fr.wikipedia.org/wiki/Master_(grade_universitaire),Master (grade universitaire)
https://fr.wikipedia.org/wiki/Doctorat,Doctorat
https://fr.wikipedia.org/index.html#cite_note-Metier25février2021-12,
https://fr.wikipedia.org/wiki/Glassdoor,Glassdoor
https://fr.wikipedia.org/wiki/Devops,Devops
https://fr.wikipedia.org/index.html#cite_note-Metier25février2021-12,
https://fr.wikipedia.org/w/index.php?title=Science_des_donn%C3%A9es&veaction=edit&section=5,Modifier la section : Évolutions attendues du métier
https://fr.wikipedia.org/w/index.php?title=Science_des_donn%C3%A9es&action=edit&section=5,Modifier le code source de la section : Évolutions attendues du métier
